Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D2","RED","LED_0603_1608Metric",140.4600,-115.9700,-90.0000,top
"D3","GREEN","LED_0603_1608Metric",151.0200,-115.9700,-90.0000,top
"IC1","CAM-M8Q","CAM-M8Q",136.0135,-98.9350,90.0000,top
